COD;RUA;SAL;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;LAT;LONG
350600305000255;RESIDENCIAL JARDIM DOS DUQUES - RUA SEBASTIÃO PREGNOLATO NÚMERO 6-70.;1921.07;;;;;-23.213206800;-47.4905442000
350600305000077;RUA OLEGÁRIO MACHADO COM A RUA SALDANHA DA GAMA.;1914.09;;;;;-3.927722400;-41.7009902000
350600305000253;RUA CRISTIANO PAGANI E SEBASTIÃO PREGNOLATO NO PARQUE DAS CAMÉLIAS.;1903.84;;;;;-23.213206800;-47.4905442000
350600305000036; RUA BERNARDINO DE CAMPOS COM A RUA SABADINO SCRIPTORE.;1854.89;;;;;-23.735032400;-46.4079210000
350600305000086;RUA PRINCESA ISABEL COM A RUA ALTO ACRE.;1847.68;;;;;-20.094021700;-51.1099285000
350600305000038;WENCESLAU BRAZ.;1822.17;;;;;-22.384470400;-42.9816974000
350600305000183;ENTRONCAMENTO DA ALAMEDA DAS CRISANDALIAS COM A ALAMEDA DAS GLICINIAS.;1819.06;;;;;-22.002840500;-47.8931497000
350600305000185;CRUZAMENTO DA ALAMEDA DAS PAINEIRAS COM A ALAMEDA VITÓRIA RÉGIA.;1803.47;;;;;-16.382676000;-39.0452781000
350600305000046;RUA CAETANO CARIANI COM A RUA SILVA JARDIM.;1795.43;;;;;-22.319262700;-49.0900720000
350600305000190;CRUZAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM A RUA ESPÍRITO SANTO.;1793.63;;;;;-23.213206800;-47.4905442000
350600305000040; RUA BENEDITO ELEUTÉRIO COM A RUA ALBUQUERQUE LINS.;1791.71;;;;;-22.324280600;-49.0959802000
350600305000140;ENTRONCAMENTO DA RUA JOSÉ FRANCISCO AUGUSTO COM A RUA OITO.;1778.10;;;;;-22.302365300;-49.0743660000
350600305000003;RUA PADRE NÓBREGA COM A RUA OLAVO BILAC.;1769.92;;;;;-20.132170100;-40.2014263000
350600305000057;RUA TUPINIQUINS COM A RUA MARCONDES SALGADO.;1766.47;;;;;-16.441632900;-39.0688942000
